episode,episode,total_reward,peak_occurrences,avg_building_load,avg_total_load,avg_smp_price
0,0,434132.1070070694,12.0,422.5522029545673,412.13938337848845,324.7855456761368
1,1,543461.5425012405,13.0,414.8208672886239,406.89161059123074,344.9966576898368
2,2,104397.68287752138,13.0,413.15584880117564,407.403347601248,374.99249222184955
3,3,462592.53404997766,13.0,420.72243702466517,415.5894948307114,369.3548951324833
4,4,209759.47995003758,13.0,410.600727057878,425.38145204180984,368.8590520959045
5,5,407994.7166350323,13.0,416.4452360980624,423.55528107740884,310.60831794631696
6,6,286977.31041941606,13.0,411.7738131312355,415.7539762817336,346.2129679761649
7,7,-73643.56878174278,1.0,210.18621748859982,233.33357733913851,150.81814445705965
8,8,-12280.232079415888,2.0,208.05285645419642,237.0523140641972,128.34129082468064
9,9,-102717.93185880056,4.0,205.9811565446191,238.29302969167682,135.63487762406723
10,10,-109016.63530099696,2.0,200.87194990849662,233.3930328490767,134.42116542192687
11,11,-34828.295151417566,2.0,213.944641408051,243.92777057378245,141.3795518826682
12,12,-58106.360584944756,1.0,209.22497210727633,241.49508651112058,160.65245001904782
13,13,-101519.78437838922,2.0,212.74380766420586,248.38368746825336,146.21349961850856
14,14,99847.50291635947,14.0,409.90275470699277,433.06395863525563,382.3229918490154
15,15,136388.7985064749,13.0,419.5636207351219,447.87168530989044,327.9293142763752
16,16,301266.4483140296,14.0,414.65829490072883,443.17370866797745,382.25552030382784
17,17,14894.565123663055,13.0,419.72234828815493,445.69299887827736,352.51277241548627
18,18,-117422.5013420695,14.0,415.1914599164995,444.6219446615196,307.30664980616706
19,19,119415.55598449707,15.0,420.25668358480704,449.06501684755517,371.84047523864837
20,20,34825.16283239891,13.0,398.4671661750815,427.65809807727993,316.28950784007884
21,21,-76054.6847106706,4.0,209.1784729989763,249.73711599581824,147.67512565987462
22,22,-37174.66138108881,1.0,204.1492551487913,249.50138268722336,137.86214876502166
23,23,-83768.51232360446,3.0,201.12288679924112,225.7227209905391,170.02326641857636
24,24,-107940.15374183655,3.0,208.9272513084171,250.89004305631806,134.22855937641495
25,25,-63843.47785175461,,206.14556282859098,256.15753453017413,141.77778321855953
26,26,-97654.00754780298,1.0,205.7374356169161,251.26060977435228,143.33124629457149
27,27,-29234.93260790654,1.0,213.801829994663,248.38554128396936,171.29054863020437
28,28,10649.081001281738,14.0,411.99740142369643,438.5924378739525,307.76766543212943
29,29,248669.0946492463,14.0,425.49958189029434,458.34774108906134,351.88584183670196
30,30,-61040.08380126953,2.0,196.00397563777815,241.82669801696053,123.00242588120047
31,31,-122736.76635742188,3.0,196.16925583851415,236.06124151353615,141.60590166432263
32,32,-67448.07161297325,2.0,199.13590065815603,235.81863377805257,133.2515044352779
33,33,5811.596710205078,1.0,192.62069217107475,200.13610986177483,116.8371405717141
34,34,22497.969970703125,,191.5221282292171,193.8262152830407,120.66279766213326
35,35,-16945.114013671875,,94.64661496664888,105.74949013507138,56.93222688587281
36,36,1703.6788940429688,,97.41486615944216,100.6473503728463,49.48393514189152
37,37,-41911.39749145508,,100.90200968522026,110.8631660543263,75.45362942981576
38,38,631.3363342285156,,97.75285918679144,105.78382845334276,46.994958675537475
39,39,77834.11032104492,,99.07430251075482,110.76000630655227,63.29227888712138
40,40,27531.502502441406,,98.13687349374969,110.32094433267292,55.69074190594984
41,41,-20206.47827911377,,98.19137719940032,109.41123193954233,63.6906975689357
42,42,-27297.969604072627,1.0,194.24434740354673,209.13695564489456,117.523742318973
43,43,-19802.614352414108,4.0,193.2058508509555,206.44450989238894,119.45311048963346
44,44,78434.74453735352,1.0,189.67511545157197,195.488125718359,151.25193193480774
45,45,38765.788153561814,2.0,197.9181819044165,199.02470657982232,125.72507122674897
46,46,13694.075805664062,1.0,190.6550578059766,177.81437645338153,118.82104364011981
47,47,9206.283294677734,1.0,193.88697323612803,199.6249344414831,119.7416496005098
48,48,2264.3133544921875,1.0,194.24838721920597,182.5002640470908,108.63585380451586
49,49,-15560.111206054688,,97.8230495724129,80.07951345105734,63.24808569707147
50,50,-16995.354618977653,,97.78050981457459,84.37007649725639,62.64011749002926
51,51,-12344.294773101807,,97.15803696290554,74.76760526974734,45.1429732203944
52,52,-8871.38290863,,97.97513055769998,76.4155198611687,45.46123419610996
53,53,-59686.31914520264,,95.02510375767089,113.93925001475344,51.53218788808751
54,54,-32633.955444335938,,97.78339909272431,150.12408692982703,60.141293919340626
55,55,-38804.190368652344,,99.66337425480707,142.0204919185248,59.750547757678504
56,56,-56939.20916748047,,195.73544332228914,239.02367551620887,115.18032935727996
57,57,-56850.4259185791,1.0,191.49468589098134,238.9338951797938,119.42373671331399
58,58,-53935.016845703125,,194.53231397848322,243.57248067065714,125.44501480825262
59,59,-77887.36279296875,,197.371409340926,246.53976501012949,124.02089849066596
