episode,episode,total_reward,peak_occurrences,avg_building_load,avg_total_load,avg_smp_price
0,0,480857.7196157043,13.0,406.0581137351971,396.49119456517866,331.4417385434262
1,1,388153.6406943876,13.0,418.4625988291405,412.3923182176386,351.1452011938484
2,2,388027.81589302036,13.0,409.88972552594936,403.9058716684978,354.25731121885906
3,3,459140.0239708499,13.0,417.26622565219174,422.1113044827289,353.0651135736352
4,4,435069.890300621,12.0,410.2890666122628,410.240145111411,366.69592044764454
5,5,167950.66594654965,13.0,421.27855259004014,440.0099202448824,345.25746801232094
6,6,18598.01559646784,14.0,405.8408662228469,432.4010694010977,354.60206716761076
7,7,-93999.49112632936,3.0,210.5271242520547,241.13935594224412,130.34467359211135
8,8,-38730.79313413063,2.0,209.24415662964586,232.7226099661375,128.15203949414874
9,9,-77681.04643341845,4.0,208.08591119960735,242.10130293732,136.95916400087864
10,10,-76392.82773856088,1.0,211.26044183732276,233.87195423280184,137.74815478560524
11,11,-35723.32595247064,2.0,208.74878473899278,245.78948039458885,141.8165308033898
12,12,-72046.35470165918,4.0,208.70537214741975,236.31452145743137,137.41864894873524
13,13,-86100.4303793442,2.0,209.21437177004,239.56266814873814,147.53736726200086
14,14,337295.51253141987,14.0,419.759563406372,449.38166411266053,366.6639891949492
15,15,543022.6997703899,14.0,415.3690282686047,443.05932505028335,371.235786647005
16,16,181427.88687796358,14.0,417.66531495028454,442.2019985866015,391.9432794058598
17,17,-24701.86021823439,15.0,422.2662827400389,452.13752442501135,349.3917340356661
18,18,159057.05095539306,13.0,406.9250129483157,434.83566491000005,333.55329904863396
19,19,110469.89158738522,14.0,423.6945823501481,456.3010264856551,348.6014519558051
20,20,241789.4429473877,15.0,409.39712042312544,442.3178559760374,344.60782700312126
21,21,-77104.8710302915,2.0,210.58451247472536,259.98007383564595,144.36906767646366
22,22,-3472.2168583043,2.0,208.6055900573899,243.6233796940346,161.78563068064574
23,23,-33044.178354005555,1.0,203.87547545660038,231.24408002303323,143.71105722920908
24,24,-75828.82661437988,3.0,206.90419115226413,244.97011977968864,130.12244236057703
25,25,-23252.053974555147,3.0,210.38980633753013,248.85229726206538,157.30756068378597
26,26,-55791.629302978516,1.0,207.3781632336322,249.25205088081717,149.47649634702466
27,27,-64423.7659307518,2.0,217.91748983247928,245.82572350365345,144.56537107511102
28,28,660943.2857055664,13.0,418.7163558643039,442.83743700302904,372.13397669090546
29,29,283430.07063328876,12.0,408.30754890283765,415.6037962920631,360.9386220567506
30,30,-77840.55017089844,,199.81969258220093,247.43154630043878,123.33350355057546
31,31,-130596.22528420556,1.0,192.3917979149811,229.30335646633674,117.07867127589907
32,32,-55566.697998046875,,195.6567493730042,244.41671151427371,120.26422640985602
33,33,-92063.58178851868,,192.04600736369233,240.6800802923752,129.07006704380152
34,34,-82426.83038330078,1.0,191.44106815229452,230.34900331771075,125.13138351021773
35,35,-24184.269172668457,,96.12335123663631,135.66850137792736,47.55283729900742
36,36,-29619.656021118164,,95.4511348333577,141.9164119962632,49.975140314932105
37,37,-23980.51742553711,,100.17090468942057,143.42137872380837,64.90504598064959
38,38,-12049.354250829476,,97.04166809025268,140.46176417055193,68.6417013158088
39,39,-9277.720886230469,,98.86709824765232,143.1628658868353,60.06730086460478
40,40,-28291.509704589844,,95.55816523975774,138.05966260572853,48.84720957320499
41,41,-24078.22036743164,,97.73631339421344,132.62923905308926,83.81364483845229
42,42,-71536.77966308594,1.0,194.41887041901714,242.7278413160856,122.22883479427304
43,43,-74915.07553553762,1.0,192.56025131079272,235.20045414720326,124.41044602736416
44,44,-77011.74488580227,1.0,189.9442285558748,226.68458588881057,122.3399675351222
45,45,-85856.5348815918,,192.09208314488944,241.7132264118769,115.804247119036
46,46,-49282.99865722656,1.0,195.1712593277443,238.89384945082395,114.2314645283911
47,47,-68877.63037109375,1.0,194.59761662162032,241.8288825225189,116.49944251032751
48,48,-50248.435119628906,,190.20542710797318,236.26915274148314,117.86117222923436
49,49,-45522.49627685547,,98.87823686731832,147.4278509012601,45.29586848200224
50,50,-22477.768380839378,,97.34529716994506,149.93832719409934,46.12084414172454
51,51,-23440.453788757324,,96.03338293129877,146.1975891117006,45.17449568671382
52,52,-44842.03730064639,,96.59166475451183,141.6278466496823,42.28464724172224
53,53,-31881.366455078125,,98.08463059357139,146.40231164490288,54.338698162618094
54,54,-35042.756256103516,,96.56807621443879,141.62756821181208,43.96115933256217
55,55,-19566.881805419922,,98.18508827311773,137.9720074634462,48.593644074213046
56,56,-52740.42175292969,1.0,200.0191368797213,232.00649614629762,124.05284711478608
57,57,-99658.05862426758,3.0,194.37148635112615,235.36271070448493,126.82343667945351
58,58,-60919.1337890625,1.0,198.10536433376026,241.6345797071998,120.52771103804749
59,59,-58751.89031982422,,197.84872263555465,240.89608354048596,129.88376665244735
