episode,episode,total_reward,peak_occurrences,avg_building_load,avg_total_load,avg_smp_price
0,0,494560.57279712014,13,411.8675487714639,403.94896143985716,364.62501335534245
1,1,286980.63905132265,13,411.44386641673617,406.8278760569677,339.53818005185667
2,2,624163.8711319388,13,410.4540564852185,412.84378777459966,381.33313134107794
3,3,312933.28414934326,13,421.75736168622234,437.5898766010164,344.84148802582257
4,4,518248.3858362332,14,418.66005842911346,431.55657669472225,381.091591344301
